objectid,name,year
2665,Russian Civil War 1918-1922 (first edition),1976
4244,Highway to the Reich (first and second editions),1976
3572,Invasion  America \u2013 Death Throes of the Superpower,1976
4009,Breitenfeld,1976
3663,Outreach  The Conquest of the Galaxy,1976
7639,Their Finest Hour,1976
2965,Kendo,1976
2277,Lose Your Shirt,1976
30022,Quatre Bras,1976
3998,Fortune,1976
30023,Ligny,1976
12900,War In The East (Second Edition),1976
13915,Bastogne  The Desperate Defense,1976
26794,LOGacta Chart Soccer,1976
11220,Knockout Cricket,1976
10561,Warsaw Pact,1976
12479,Usborne Battlegame Books  Fighting Ships,1976
5055,The Great War 1914-1918,1976
30020,La Belle Alliance,1976
10394,Avalanche  The Salerno Landings,1976
30021,Wavre,1976
9973,Cauldron,1976
8833,Firefight  Modern U.S. and Soviet Small Unit Tactics,1976
5859,Minuteman  The Second American Revolution,1976
9496,Burma,1976
2043,Shogun,1976
9736,Crusader  Battle for Tobruk,1976
12811,Strat-O-Matic College Football,1976
5185,Field Marshal,1976
5902,Man-Eater!,1976
8331,Revolt in the East  Warsaw Pact Rebellion in the 1970's,1976
2210,The Last Spike,1976
2503,Godsfire,1976
4025,Lankhmar,1976
8477,10-Four,1976
3575,The Plot to Assassinate Hitler,1976
16440,The Alley Cats Game,1976
7471,Suspense,1976
5715,Petropolis,1976
2406,Whosit?,1976
6839,Bionic Woman,1976
4736,Armour Supremacy,1976
12890,Swindle,1976
2783,Thieves in the Wood,1976
13918,Remagen  Bridgehead on the Rhine,1976
9514,Happy Days,1976
2033,Reporter,1976
2446,Chopper Strike,1976
1706,UFO  Game of Close Encounters,1976
4126,Dixie,1976
6387,Mr. Mouth,1976
5314,Hangman,1976
1658,Police State,1976
2056,Courier,1976
2261,Battles of Trenton and Princeton,1976
2802,War in Europe,1976
2951,Morecambe & Wise Game,1976
3055,Counterstrike,1976
3121,Succession,1976
3642,Assault on Mt. Everest,1976
3647,Bumerang,1976
3940,Penguin Colourgrams 2,1976
4138,Madame Guillotine,1976
4156,Marlin Perkins' Wild Kingdom Game,1976
4195,War of the Ring  The Game of Middle Earth,1976
4230,Napoleon's Last Battles,1976
4411,Citadel,1976
4431,Schachjagd,1976
4692,Meistertrick,1976
4791,Duplicate Ad-Lib Crossword Cubes,1976
4883,Salamanca,1976
4993,The Sting Game,1976
5024,Der Fuhrer,1976
5092,Jack and the Beanstalk Memory Game,1976
5118,Deduction,1976
1035,Squad Leader,1977
15,Cosmic Encounter,1977
5206,Ogre,1977
1442,Victory in the Pacific,1977
1295,Pente,1977
811,Rummikub,1977
